model,n_participants,total_elpd,mean_participant_elpd,se_participant_elpd,mean_lpd_per_transition,total_test_transitions,n_folds_with_divergence,max_fold_rhat,min_fold_ess_bulk
X_B,34,-454.27245805208656,-13.36095464859078,1.7858076230704498,-2.4263067607366593,207,0,1.01,793.0
X_E,34,-455.1663486268547,-13.387245547848668,1.7872642396418446,-2.3986883126680096,207,0,1.01,803.0
X_0,34,-457.32021888398197,-13.450594673058292,1.7375567839287438,-2.450600780183757,207,0,1.01,671.0
X_C,34,-458.9068215116245,-13.497259456224251,1.7405779056996076,-2.460062800997396,207,0,1.01,756.0
